TIMESTAMP,NEE_VUT_REF,NEE_VUT_REF_QC,GPP_NT_VUT_REF
20000411,0.861773,1,-0.160449
20000412,0.807668,1,-0.0101308
20000413,0.571113,1,0.323504
20000414,0.523578,0.958333,0.882111
20000415,0.763027,1,0.254912
20000416,0.661951,1,0.19809
20000417,0.492276,1,0.431536
20000418,0.97976,1,0.181139
20000419,0.889446,0.791667,0.490769
20000420,0.93678,1,0.096114
20000421,0.790191,0.875,0.570246
20000422,0.685235,0.916667,0.792796
20000423,0.979167,0.916667,0.888687
20000424,0.876563,1,0.850942
20000425,0.890747,0.958333,0.958897
20000426,1.10854,0.958333,1.12936
20000427,1.13982,1,1.41588
20000428,1.08263,0.916667,1.4789
20000429,0.453903,1,1.93905
20000430,0.844764,1,2.00129
20000501,1.44374,0.958333,1.41773
20000502,1.09424,0.916667,1.81625
20000503,1.83553,0.916667,1.91419
20000504,1.98803,1,1.86505
20000505,3.34068,1,1.41409
20000506,2.75672,1,2.73351
20000507,2.47729,1,2.57884
20000508,1.48901,1,3.5555
20000509,0.56904,1,3.80227
20000510,-0.246384,1,4.83773
20000511,1.46522,1,3.07034
20000512,2.4203,1,1.83704
20000513,0.587284,1,3.22176
20000514,-0.102429,1,3.22085
20000515,-0.559799,0.916667,3.93022
20000516,0.416748,0.958333,2.86957
20000517,-0.0358828,1,3.12179
20000518,0.322451,1,2.6188
20000519,-0.280547,1,3.10209
20000520,-1.19585,0.958333,4.36066
20000521,-1.13704,0.875,4.66065
20000522,-0.633555,1,4.2406
20000523,0.666953,1,3.03073
20000524,-1.4789,1,5.1754
20000525,-1.14726,1,4.40824
20000526,-2.87788,0.916667,6.55093
20000527,-2.51786,1,6.54935
20000528,-2.58672,1,6.8197
20000529,-2.3933,1,7.01049
20000530,-1.80503,1,6.74584
20000531,-3.67682,1,8.93739
20000601,-0.547924,1,5.08035
20000602,-2.42436,1,6.69262
20000603,-4.53528,0.916667,8.8778
20000604,-4.63107,1,9.11381
20000605,-4.91761,0.958333,9.4913
20000606,-4.64478,1,9.61177
20000607,-4.52159,1,9.80521
20000608,-4.00737,1,9.79418
20000609,-2.81227,1,7.51831
20000610,-2.88059,1,8.83058
20000611,-0.0820334,1,4.04511
20000612,-6.04279,1,10.4768
20000613,-2.81311,1,7.2883
20000614,-3.1418,1,8.83729
20000615,-3.10107,1,8.30355
20000616,-0.976936,1,5.98663
20000617,-7.47575,1,11.8719
20000618,-5.74251,1,10.7853
20000619,-5.32776,1,10.5422
20000620,-0.441065,1,6.14351
20000621,-2.53341,1,8.57492
20000622,-4.26198,1,9.18716
20000623,-5.61317,0.958333,10.886
20000624,-5.05175,1,10.3124
20000625,-5.30768,0.958333,10.8354
20000626,-2.93125,1,7.63235
20000627,-6.25024,1,10.5563
20000628,-5.46594,0.875,9.67455
20000629,-5.72704,1,9.81258
20000630,-4.92164,1,9.26723
20000701,-3.50616,0.958333,8.50593
20000702,-1.48562,0.958333,6.20842
20000703,-4.53745,0.958333,9.14131
20000704,-5.5609,0.958333,10.6469
20000705,-5.49925,1,10.4054
20000706,-5.3171,0.875,10.161
20000707,-4.92055,0.916667,9.67844
20000708,-4.13276,0.958333,9.03871
20000709,-4.37158,1,9.93449
20000710,-3.64513,0.958333,8.66674
20000711,-3.34894,0.833333,8.52824
20000712,-4.33398,0.958333,9.24473
20000713,-4.82716,1,10.1802
20000714,-4.81891,1,10.0569
20000715,-3.48028,1,8.60884
20000716,-4.1487,1,9.0542
20000717,-3.47186,1,7.64082
20000718,-6.59153,1,10.0462
20000719,-4.65902,1,8.28634
20000720,-3.41831,1,6.94316
20000721,-5.74892,1,9.00828
20000722,-6.02902,1,9.18085
20000723,-5.38246,0.916667,8.53049
20000724,-3.26442,0.916667,6.72766
20000725,-4.44952,0.833333,7.97099
20000726,-2.37749,0.875,6.39082
20000727,-0.287169,1,3.4596
20000728,-2.48563,0.875,6.05799
20000729,-2.994,1,7.53412
20000730,-2.68565,1,7.73305
20000731,-2.93236,0.916667,8.28509
20000801,-2.37969,0.833333,8.29219
20000802,-3.67348,1,9.34047
20000803,-4.04319,0.958333,9.20488
20000804,-3.74567,0.666667,9.83836
20000805,-2.25164,0.875,8.21994
20000806,-1.36559,1,6.98008
20000807,-3.23767,1,8.95227
20000808,2.69694,1,2.80793
20000809,-4.36667,1,10.6583
20000810,-2.72534,1,9.51681
20000811,-3.34107,0.833333,10.5536
20000812,-3.79189,0.833333,11.0702
20000813,-0.287929,1,6.64551
20000814,-4.81941,0.916667,9.68744
20000815,-4.11877,0.958333,9.2092
20000816,-3.86762,1,7.80332
20000817,-1.97029,1,5.27527
20000818,-3.73805,1,7.3963
20000819,-5.19599,1,8.64697
20000820,-3.28384,1,6.94363
20000821,-4.68798,0.833333,8.47939
20000822,-0.821549,0.916667,4.82739
20000823,-3.65315,1,7.93676
20000824,-2.93711,0.916667,7.22838
20000825,-2.90003,0.791667,7.61016
20000826,2.18278,1,2.46048
20000827,-3.7325,0.958333,8.4065
20000828,-3.67981,0.875,9.01231
20000829,-0.381966,1,6.23296
20000830,-3.40039,0.916667,9.24905
20000831,-3.03525,1,10.2685
20000901,2.12729,1,4.40995
20000902,0.625586,1,5.09629
20000903,-0.136223,0.958333,5.99815
20000904,-1.2449,1,6.47622
20000905,-2.89728,0.708333,7.60282
20000906,-3.25611,0.833333,7.97463
20000907,-2.08157,1,7.51493
20000908,-3.07491,0.833333,8.0429
20000909,-2.87358,1,7.64753
20000910,-0.28703,1,5.40035
20000911,0.577842,1,4.10775
20000912,-2.26328,1,6.13521
20000913,-1.13525,1,4.83744
20000914,-2.1147,0.958333,5.58067
20000915,-1.76718,1,4.56532
20000916,-3.65244,0.958333,6.52597
20000917,-3.23333,1,6.59302
20000918,-1.90958,1,5.70212
20000919,1.17877,1,2.87963
20000920,-0.485509,1,3.81097
20000921,-1.68386,1,4.51319
20000922,1.00141,1,1.80524
20000923,0.358475,1,2.86177
20000924,-2.86614,1,5.5854
20000925,-2.06803,0.916667,5.11594
20000926,-1.48235,1,5.02044
20000927,-1.0613,1,3.80142
20000928,-0.787344,0.958333,3.50921
20000929,-0.812086,1,4.4939
20000930,0.110604,1,3.98619
20001001,0.669246,1,3.57086
20001002,1.15292,1,2.4671
20001003,-0.219737,1,3.42547
20001004,-0.133802,1,2.95265
20001005,0.892918,1,1.52526
20001006,0.749327,1,1.39054
20001007,0.823577,1,1.26813
20001008,0.732377,1,1.14363
20001009,0.236009,1,2.05155
20001010,0.759757,1,1.62156
20001011,1.01494,1,1.52405
20001012,0.977527,1,1.69524
20001013,2.44608,1,0.61168
20001014,2.48337,0.958333,0.320647
20001015,1.66623,1,0.302046
20001016,1.3832,0.958333,0.655093
20001017,1.37085,0.916667,0.706856
20001018,1.49328,1,0.76754
20001019,1.44368,0.875,0.939338
20001020,2.09834,1,0.494001
20001021,1.03315,0.958333,1.02727
20001022,0.73969,0.958333,1.35235
20001023,2.39381,1,0.191923
20001024,1.79024,1,0.845297
20001025,1.42304,0.916667,1.05643
20001026,2.56283,1,0.742245
20001027,1.85841,1,0.944273
20001028,0.871582,1,0.875927
20001029,0.854156,0.958333,1.0262
20001030,1.31513,0.916667,0.748258
20001031,0.932324,1,1.2635
20001101,1.05474,0.875,1.29845
20001102,1.07219,1,1.18038
20001103,1.28116,1,0.445016
20001104,0.912954,1,0.536727
20001105,0.462653,1,1.08708
20001106,0.437287,1,1.21292
20001107,1.38092,1,0.381069
20001108,1.66932,1,0.0279901
20001109,1.54517,1,0.00480514
20001110,1.2719,1,0.299835
20001111,0.794173,0.958333,0.638146
20001112,0.823032,1,0.533687
20001113,1.20395,1,0.119983
20001114,0.850249,1,0.27065
20001115,1.02826,1,0.0923802
20001116,0.992586,1,0.0934522
20001117,0.861934,1,0.162658
20001118,0.883624,1,0.0558925
20001119,0.85126,1,0.0967557
20001120,0.842388,1,0.0943832
20001121,0.813287,1,-0.135905
20001122,0.727305,1,-0.101997
20001123,0.980559,1,-0.314254
20001124,0.6789,1,0.296249
20001125,0.629506,1,0.48012
20001126,0.837869,1,0.274341
20001127,0.664111,1,0.322756
20001128,0.583556,1,0.397491
20001129,0.638524,1,0.161499
20001130,0.738243,1,-0.043673
20001201,0.784597,1,-0.257612
20001202,0.68674,0.958333,-0.157311
20001203,0.467282,1,0.107692
20001204,0.497978,1,0.0882262
20001205,0.27666,1,0.0767365
20001206,0.402412,1,-0.111784
20001207,0.313805,1,-0.0631912
20001208,0.299466,1,0.0471999
20001209,0.370646,1,0.0652588
20001210,0.516343,1,-0.0808769
20001211,0.41456,1,-0.120368
20001212,0.280633,1,-0.0290338
20001213,0.299665,1,0.0120887
20001214,0.61448,0.916667,-0.178475
20001215,0.652022,1,-0.0770774
20001216,0.262434,1,0.429573
20001217,0.443924,1,0.184096
20001218,0.521258,1,-0.0558536
20001219,0.668102,1,-0.263364
20001220,0.586629,1,-0.180885
20001221,0.509182,1,0.0987792
20001222,0.444797,0.958333,0.0659561
20001223,0.558947,1,-0.0491999
20001224,0.366779,1,0.0393743
20001225,0.488703,1,-0.0424827
20001226,0.553434,1,-0.00261394
20001227,0.61676,1,-0.295039
20001228,0.63423,1,-0.331335
20001229,0.443899,1,0.0152914
20001230,0.437495,1,0.0312251
20001231,0.634522,1,-0.200819
20010101,0.525424,0.791667,-0.0146952
20010102,0.634179,1,-0.0616779
20010103,0.279451,1,0.286667
20010104,0.596028,1,-0.00556644
20010105,0.563137,1,0.0503402
20010106,0.64357,1,-0.125531
20010107,0.57392,0.708333,-0.138285
20010108,0.596048,0.75,-0.287643
20010109,0.375019,0.791667,0.0275274
20010110,0.22791,0.958333,0.19542
20010111,0.501582,1,-0.0995318
20010112,0.47121,1,-0.0673201
20010113,0.0451196,1,0.410437
20010114,0.205175,0.875,0.255581
20010115,0.287614,0.833333,0.189346
20010116,0.514222,1,-0.0733563
20010117,0.556042,0.833333,-0.129941
20010118,0.391262,1,0.0491647
20010119,0.716289,1,-0.382517
20010120,0.384897,0.958333,-0.0522968
20010121,0.600062,1,-0.246076
20010122,0.516592,1,-0.133027
20010123,0.167624,1,0.251161
20010124,0.501934,1,-0.116014
20010125,0.390348,1,0.0406405
20010126,0.506351,1,-0.00758801
20010127,0.568299,1,-0.0900965
20010128,0.520721,1,0.0398053
20010129,0.681072,0.958333,-0.0682981
20010130,0.525868,1,0.118184
20010131,0.546094,1,0.0574673
20010201,0.708393,1,-0.0943455
20010202,0.49202,1,-0.0224126
20010203,0.464301,0.958333,0.0195143
20010204,0.447995,0.958333,0.0672963
20010205,0.620318,1,-0.125723
20010206,0.555056,1,-0.105474
20010207,0.741752,1,-0.339693
20010208,0.409628,1,-0.0338534
20010209,0.442706,1,-0.0681405
20010210,0.542756,0.708333,-0.262335
20010211,0.508409,1,-0.209239
20010212,0.401494,1,-0.0341615
20010213,0.428603,1,0.0034564
20010214,0.696174,1,-0.258997
20010215,0.459371,1,-0.0947247
20010216,0.554891,1,-0.173424
20010217,0.560875,1,-0.252668
20010218,0.263558,1,0.0750727
20010219,0.310427,1,0.0918451
20010220,0.525449,1,-0.0947449
20010221,0.433601,1,-0.121712
20010222,0.577879,1,-0.19922
20010223,0.385719,1,0.0623374
20010224,0.243364,1,0.244773
20010225,0.356552,0.875,0.35903
20010226,0.648772,1,-0.0718831
20010227,0.650445,1,-0.14899
20010228,0.253841,1,0.260681
20010301,0.523457,1,0.0741471
20010302,0.516931,1,0.148063
20010303,0.532526,0.916667,0.133282
20010304,0.829015,1,-0.304188
20010305,0.319506,1,0.193776
20010306,0.371419,1,0.184266
20010307,0.591722,1,-0.0144792
20010308,0.521271,1,0.043372
20010309,0.555595,1,-0.0446807
20010310,0.339899,1,0.211246
20010311,0.668688,1,-0.198076
20010312,0.154474,0.833333,0.312418
20010313,0.647565,1,-0.0707092
20010314,0.545801,1,0.0317678
20010315,0.898386,1,-0.222614
20010316,0.401148,1,0.207769
20010317,0.597801,1,0.0417237
20010318,0.555513,1,0.0936503
20010319,0.783272,0.916667,0.0260064
20010320,0.81066,0.958333,0.0575295
20010321,0.874943,0.958333,0.0150943
20010322,0.94948,0.875,-0.00669548
20010323,1.19013,1,-0.267255
20010324,0.685806,1,0.0834218
20010325,0.676654,1,0.00306401
20010326,0.756037,0.958333,-0.0176298
20010327,0.670482,1,0.122441
20010328,0.491566,1,0.380721
20010329,0.998858,1,-0.116229
20010330,0.687025,0.916667,0.130409
20010331,1.04002,0.875,-0.174762
20010401,0.919698,1,-0.148212
20010402,0.783627,0.875,0.00661303
20010403,0.927746,0.958333,-0.136952
20010404,0.977964,0.75,-0.113221
20010405,0.920412,1,-0.0151514
20010406,0.919057,1,-0.0776595
20010407,0.913735,1,-0.0403822
20010408,0.923835,1,0.0142338
20010409,0.910981,0.958333,0.0531992
20010410,0.633942,1,0.365782
20010411,0.84119,1,0.219787
20010412,1.02205,0.916667,0.109966
20010413,1.08952,1,-0.0487565
20010414,1.11024,0.958333,-0.0117527
20010415,1.10444,1,-0.078861
20010416,0.939301,1,0.0833616
20010417,0.7218,1,0.369169
20010418,1.09384,1,0.116843
20010419,1.04115,0.958333,0.308787
20010420,1.15798,1,0.314948
20010421,1.26831,1,0.333201
20010422,0.740379,0.958333,0.713465
20010423,1.83193,0.916667,-0.0769902
20010424,0.828181,1,0.676496
20010425,1.08327,0.916667,0.619097
20010426,0.790807,1,1.1891
20010427,0.714341,0.916667,1.35768
20010428,0.69286,0.958333,1.59621
20010429,0.992491,0.958333,1.6549
20010430,2.38244,1,0.978444
20010501,1.58343,0.833333,1.81009
20010502,2.79365,0.958333,1.09967
20010503,2.14113,0.958333,1.28434
20010504,1.14773,0.791667,2.14423
20010505,1.04539,1,2.27961
20010506,0.650248,1,2.68937
20010507,1.55204,0.958333,1.81816
20010508,1.67149,1,1.96553
20010509,0.625873,0.833333,2.82633
20010510,1.482,0.958333,2.00375
20010511,0.513789,0.958333,2.54481
20010512,-0.429928,1,3.31636
20010513,-0.309305,1,3.30422
20010514,-0.0416519,0.958333,3.12653
20010515,0.649112,1,2.33891
20010516,0.296464,1,2.71541
20010517,-0.218798,0.875,3.50586
20010518,-1.30802,1,4.82737
20010519,-1.60463,0.916667,5.21548
20010520,-0.593415,1,4.38551
20010521,-0.407619,0.958333,4.14747
20010522,-3.52132,1,7.33547
20010523,-2.72026,1,6.68929
20010524,-1.96971,0.958333,6.3297
20010525,-0.988519,1,5.4612
20010526,-1.41369,1,5.91987
20010527,-1.29946,1,6.03591
20010528,-2.96455,1,7.98891
20010529,-2.33518,1,7.07501
20010530,-3.88168,1,8.62064
20010531,-3.14348,1,8.05124
20010601,2.38912,1,2.06936
20010602,0.216274,1,4.18232
20010603,-2.50211,1,6.90896
20010604,-3.25358,0.875,7.14286
20010605,-5.50939,0.791667,10.2281
20010606,-3.32343,0.916667,8.42279
20010607,-3.36409,0.5,8.59388
20010608,-3.08946,0.791667,8.40193
20010609,-3.703,0.75,9.08853
20010610,-1.87713,0.875,7.38012
20010611,-3.99627,1,9.88687
20010612,-5.79343,1,11.6822
20010613,-3.19879,0.916667,9.29968
20010614,-2.69691,0.958333,9.20165
20010615,-2.10082,0.916667,7.68196
20010616,-6.27129,0.958333,11.8917
20010617,-6.93251,1,12.3113
20010618,-2.40277,0.916667,7.78611
20010619,-3.6855,0.958333,9.06833
20010620,-4.92575,1,10.062
20010621,-2.9103,0.875,7.77298
20010622,-6.3574,0.791667,11.0573
20010623,-6.17669,0.583333,10.8393
20010624,-6.31203,0.75,10.8862
20010625,-3.942,0.708333,8.6226
20010626,-3.61892,0.791667,8.33653
20010627,-3.39619,0.791667,8.18628
20010628,-4.61559,0.791667,9.36355
20010629,-4.24715,0.791667,9.03303
20010630,-6.03206,1,10.8034
20010701,-2.95889,1,7.00301
20010702,-5.1344,0.958333,9.20925
20010703,-4.03037,1,8.2652
20010704,-4.49973,1,8.69023
20010705,-2.91414,1,6.84866
20010706,-4.50328,1,8.75979
20010707,-2.40913,0.916667,6.46274
20010708,-4.28265,0.916667,8.33927
20010709,-3.16358,1,7.33408
20010710,-4.31165,1,8.48649
20010711,-4.67736,0.958333,8.25413
20010712,-4.74994,0.833333,7.87819
20010713,-3.91158,0.708333,7.64706
20010714,-3.71233,0.875,7.61259
20010715,-1.28006,0.958333,5.58495
20010716,-1.58509,0.833333,5.86083
20010717,-1.80212,0.666667,6.50908
20010718,-0.75208,0.708333,5.68819
20010719,0.29286,0.958333,4.74914
20010720,-1.43869,1,7.20722
20010721,-3.37419,0.916667,9.59968
20010722,-0.778668,0.958333,7.31309
20010723,-2.72112,0.916667,9.68929
20010724,-2.24533,1,9.14555
20010725,-3.76127,0.958333,9.94296
20010726,-3.42423,1,8.90951
20010727,-4.82936,1,9.81928
20010728,-0.53479,1,5.27479
20010729,-2.29957,0.958333,6.77943
20010730,-3.51701,0.916667,7.83317
20010731,-2.85093,0.958333,7.2485
20010801,-1.27004,0.875,5.82603
20010802,-2.01181,0.958333,6.39067
20010803,-2.76756,1,7.07546
20010804,-1.45866,0.958333,5.91893
20010805,-2.84761,0.875,7.54469
20010806,-3.42294,1,8.42498
20010807,-2.70114,0.958333,8.02309
20010808,-1.28176,0.916667,6.80222
20010809,-1.9425,0.916667,7.41003
20010810,-3.67911,1,8.73847
20010811,-4.09616,1,9.29528
20010812,-2.78213,0.875,8.03639
20010813,-3.88,1,8.96175
20010814,-3.56549,1,8.69707
20010815,-2.08393,0.958333,7.29222
20010816,3.26831,1,1.81835
20010817,-0.547534,1,5.69601
20010818,-0.314139,1,5.61395
20010819,-0.377173,1,5.6135
20010820,-2.61594,1,7.93964
20010821,-3.4938,0.958333,8.80494
20010822,-2.60106,1,7.76724
20010823,-2.06112,1,7.08976
20010824,-1.21352,1,6.05406
20010825,0.475464,1,4.11703
20010826,-2.18516,0.958333,7.17872
20010827,-2.47988,1,7.5254
20010828,-2.93649,1,8.09824
20010829,-4.67592,1,10.0076
20010830,-1.80823,1,7.27503
20010831,-2.4239,1,6.99927
20010901,-2.63478,0.791667,6.48432
20010902,-2.11848,1,6.09892
20010903,-1.22712,1,5.29605
20010904,-3.88473,1,7.63799
20010905,-3.29293,1,7.09689
20010906,-3.26988,0.916667,7.36518
20010907,-0.855935,1,5.1936
20010908,-0.665726,1,5.1227
20010909,1.34584,1,2.92219
20010910,-0.72529,1,5.04165
20010911,-2.27997,0.958333,7.11181
20010912,0.397156,1,4.09042
20010913,-1.341,1,5.45216
20010914,-1.87734,0.875,6.02372
20010915,-2.042,0.958333,6.40053
20010916,-2.73063,1,7.27708
20010917,-1.31144,1,5.91076
20010918,-0.125148,1,4.88244
20010919,2.74849,1,1.81032
20010920,1.79801,0.916667,2.48436
20010921,0.146583,0.916667,3.55228
20010922,-1.7953,0.916667,5.59292
20010923,2.78915,1,0.0238609
20010924,-0.699288,0.958333,3.1293
20010925,0.437401,1,1.69796
20010926,-0.710023,1,2.81239
20010927,-1.56082,1,3.88301
20010928,-1.46901,1,3.91482
20010929,-1.39538,0.958333,3.83886
20010930,-0.851261,1,3.39198
20011001,-0.988028,1,3.54214
20011002,-0.793012,0.875,3.15011
20011003,0.0898262,1,2.43367
20011004,0.432792,1,1.96374
20011005,0.28317,0.875,1.9924
20011006,0.618955,1,1.42563
20011007,0.342217,0.958333,1.60338
20011008,0.695712,1,1.40115
20011009,1.11022,1,1.1665
20011010,2.04964,1,0.321456
20011011,1.18217,1,1.01727
20011012,1.7516,1,0.316709
20011013,1.70972,1,0.370935
20011014,1.75757,1,0.272485
20011015,1.89071,1,-0.0224543
20011016,0.858949,1,0.938978
20011017,1.00451,1,0.66715
20011018,1.06966,1,0.642737
20011019,0.870636,1,0.730711
20011020,1.38318,1,0.235281
20011021,1.22065,1,0.16792
20011022,0.753987,1,0.298707
20011023,1.70518,0.958333,-0.46111
20011024,0.996526,0.916667,0.211568
20011025,0.493052,1,0.560301
20011026,0.734564,0.916667,0.297512
20011027,0.852124,1,0.149086
20011028,0.85065,1,0.283843
20011029,1.26252,1,-0.0773948
20011030,0.41421,1,0.814384
20011031,1.04861,1,0.371253
20011101,1.38094,1,0.162381
20011102,1.26473,1,0.237079
20011103,1.24333,1,0.124312
20011104,0.863961,1,0.460231
20011105,0.593366,0.875,0.650838
20011106,0.666406,1,0.668451
20011107,0.658709,1,0.552229
20011108,1.1412,1,-0.020106
20011109,0.696511,1,0.408777
20011110,0.95425,1,0.20519
20011111,0.968557,1,0.170238
20011112,0.773904,1,0.427761
20011113,0.845752,1,0.354666
20011114,1.02358,1,0.144402
20011115,1.18121,1,-0.0194297
20011116,1.22186,1,-0.270652
20011117,0.121692,1,0.798159
20011118,0.728459,1,0.21295
20011119,0.961549,1,-0.223843
20011120,0.926911,1,-0.238231
20011121,0.813058,1,0.0247067
20011122,0.497134,1,0.443508
20011123,0.34082,0.958333,0.73095
20011124,0.398462,1,0.677253
20011125,1.18392,1,-0.152578
20011126,0.883229,1,0.0312467
20011127,0.933358,0.875,-0.0937647
20011128,0.910744,0,-0.125231
20011129,0.860401,0.708333,-0.0216933
20011130,0.880144,0.958333,-0.0821182
20011201,0.839789,1,-0.107823
20011202,0.661418,0.875,0.0175084
20011203,0.759383,1,-0.105318
20011204,0.920138,0.583333,-0.27348
20011205,0.615398,0.875,0.0637752
20011206,0.583809,0.958333,0.0423606
20011207,0.78772,1,-0.241087
20011208,0.798241,1,-0.212936
20011209,0.67563,1,-0.0260069
20011210,0.434919,1,0.306297
20011211,0.480562,1,0.202245
20011212,0.489973,1,0.205262
20011213,0.640471,1,-0.0458685
20011214,0.595131,1,-0.0523854
20011215,0.639878,1,-0.101984
20011216,0.417858,1,0.099338
20011217,0.535877,1,-0.0512924
20011218,0.404055,1,0.0673274
20011219,0.560134,1,-0.096847
20011220,0.489563,1,-0.0187517
20011221,0.485599,1,-0.0249299
20011222,0.183128,1,0.329512
20011223,0.579985,1,-0.0416441
20011224,0.535743,1,-0.0516758
20011225,0.488079,1,-0.0786997
20011226,0.411753,1,-0.0331526
20011227,0.732181,1,-0.383637
20011228,0.434584,1,-0.126421
20011229,0.295596,0.875,-0.0397336
20011230,0.15795,1,0.097132
20011231,0.402494,1,-0.140351
20020101,0.697853,0.958333,-0.326401
20020102,0.265673,1,0.17714
20020103,0.587546,1,-0.100657
20020104,0.399969,1,0.0763482
20020105,0.443306,1,0.0607626
20020106,0.442988,1,0.0161164
20020107,0.491385,0.833333,-0.171088
20020108,0.359168,1,0.162676
20020109,0.404547,1,0.242993
20020110,0.60977,1,0.0714616
20020111,0.681509,1,-0.0848897
20020112,0.519967,1,0.0604116
20020113,0.527141,1,-0.0957549
20020114,0.348366,1,0.0668624
20020115,0.540999,1,-0.127951
20020116,0.460807,1,-0.0591084
20020117,0.470912,1,-0.0878643
20020118,0.514803,1,-0.233459
20020119,0.061761,1,0.251974
20020120,0.471573,1,-0.0908335
20020121,0.532621,1,-0.15447
20020122,0.42964,1,0.055723
20020123,0.70957,1,-0.229191
20020124,0.670219,1,-0.353554
20020125,0.114107,1,0.38317
20020126,0.546603,0.958333,-0.0448458
20020127,0.378785,1,0.171
20020128,0.808058,1,-0.351159
20020129,0.480585,0.791667,-0.163685
20020130,0.405658,0.916667,-0.0519184
20020131,0.221867,1,0.160493
20020201,0.376088,0.958333,0.0154528
20020202,0.47948,1,-0.0319201
20020203,0.515491,1,-0.0424834
20020204,0.579643,1,-0.35082
20020205,0.311316,1,0.0886857
20020206,0.351718,1,0.126875
20020207,0.435729,1,0.0610358
20020208,0.43389,1,-0.0316178
20020209,0.370904,1,0.0593814
20020210,0.355139,1,-0.000362166
20020211,0.334863,0.958333,-0.0793583
20020212,0.468462,0.958333,-0.0988802
20020213,0.622088,0.916667,-0.34041
20020214,0.116058,1,0.3986
20020215,0.521428,1,-0.0649358
20020216,0.596846,1,-0.208154
20020217,0.77025,0.916667,-0.492005
20020218,0.195741,1,0.232325
20020219,0.527716,1,-0.0740837
20020220,0.536769,1,-0.123913
20020221,0.160317,1,0.150293
20020222,0.689633,0.916667,-0.409469
20020223,0.571634,0.958333,-0.1679
20020224,0.686835,0.875,-0.0326834
20020225,0.722021,1,-0.11033
20020226,0.569462,1,-0.136272
20020227,0.521847,1,-0.0727978
